monotonic_ns,wall_ns,python_gc_objects_collected_total,python_gc_objects_uncollectable_total,python_gc_collections_total,python_info,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_cpu_seconds_total,process_open_fds,process_max_fds,vllm:estimated_flops_per_gpu_total,vllm:estimated_flops_per_gpu_created,vllm:estimated_read_bytes_per_gpu_total,vllm:estimated_read_bytes_per_gpu_created,vllm:estimated_write_bytes_per_gpu_total,vllm:estimated_write_bytes_per_gpu_created,vllm:num_requests_running,vllm:num_requests_waiting,vllm:num_requests_waiting_by_reason,vllm:engine_sleep_state,vllm:kv_cache_usage_perc,vllm:prefix_cache_queries_total,vllm:prefix_cache_queries_created,vllm:prefix_cache_hits_total,vllm:prefix_cache_hits_created,vllm:external_prefix_cache_queries_total,vllm:external_prefix_cache_queries_created,vllm:external_prefix_cache_hits_total,vllm:external_prefix_cache_hits_created,vllm:mm_cache_queries_total,vllm:mm_cache_queries_created,vllm:mm_cache_hits_total,vllm:mm_cache_hits_created,vllm:num_preemptions_total,vllm:num_preemptions_created,vllm:prompt_tokens_total,vllm:prompt_tokens_created,vllm:prompt_tokens_by_source_total,vllm:prompt_tokens_by_source_created,vllm:prompt_tokens_cached_total,vllm:prompt_tokens_cached_created,vllm:generation_tokens_total,vllm:generation_tokens_created,vllm:request_success_total,vllm:request_success_created,vllm:request_prompt_tokens_bucket,vllm:request_prompt_tokens_count,vllm:request_prompt_tokens_sum,vllm:request_prompt_tokens_created,vllm:request_generation_tokens_bucket,vllm:request_generation_tokens_count,vllm:request_generation_tokens_sum,vllm:request_generation_tokens_created,vllm:iteration_tokens_total_bucket,vllm:iteration_tokens_total_count,vllm:iteration_tokens_total_sum,vllm:iteration_tokens_total_created,vllm:request_max_num_generation_tokens_bucket,vllm:request_max_num_generation_tokens_count,vllm:request_max_num_generation_tokens_sum,vllm:request_max_num_generation_tokens_created,vllm:request_params_n_bucket,vllm:request_params_n_count,vllm:request_params_n_sum,vllm:request_params_n_created,vllm:request_params_max_tokens_bucket,vllm:request_params_max_tokens_count,vllm:request_params_max_tokens_sum,vllm:request_params_max_tokens_created,vllm:time_to_first_token_seconds_bucket,vllm:time_to_first_token_seconds_count,vllm:time_to_first_token_seconds_sum,vllm:time_to_first_token_seconds_created,vllm:inter_token_latency_seconds_bucket,vllm:inter_token_latency_seconds_count,vllm:inter_token_latency_seconds_sum,vllm:inter_token_latency_seconds_created,vllm:request_time_per_output_token_seconds_bucket,vllm:request_time_per_output_token_seconds_count,vllm:request_time_per_output_token_seconds_sum,vllm:request_time_per_output_token_seconds_created,vllm:e2e_request_latency_seconds_bucket,vllm:e2e_request_latency_seconds_count,vllm:e2e_request_latency_seconds_sum,vllm:e2e_request_latency_seconds_created,vllm:request_queue_time_seconds_bucket,vllm:request_queue_time_seconds_count,vllm:request_queue_time_seconds_sum,vllm:request_queue_time_seconds_created,vllm:request_inference_time_seconds_bucket,vllm:request_inference_time_seconds_count,vllm:request_inference_time_seconds_sum,vllm:request_inference_time_seconds_created,vllm:request_prefill_time_seconds_bucket,vllm:request_prefill_time_seconds_count,vllm:request_prefill_time_seconds_sum,vllm:request_prefill_time_seconds_created,vllm:request_decode_time_seconds_bucket,vllm:request_decode_time_seconds_count,vllm:request_decode_time_seconds_sum,vllm:request_decode_time_seconds_created,vllm:request_prefill_kv_computed_tokens_bucket,vllm:request_prefill_kv_computed_tokens_count,vllm:request_prefill_kv_computed_tokens_sum,vllm:request_prefill_kv_computed_tokens_created,vllm:cache_config_info,http_requests_total,http_requests_created,http_request_size_bytes_count,http_request_size_bytes_sum,http_request_size_bytes_created,http_response_size_bytes_count,http_response_size_bytes_sum,http_response_size_bytes_created,http_request_duration_highr_seconds_bucket,http_request_duration_highr_seconds_count,http_request_duration_highr_seconds_sum,http_request_duration_highr_seconds_created,http_request_duration_seconds_bucket,http_request_duration_seconds_count,http_request_duration_seconds_sum,http_request_duration_seconds_created,vllm:gpu_cache_usage_perc
11153435673956,1789013621191901450,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.59,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11154018611094,1789013621774838788,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.650000000000002,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,103813714.0,1789013202.9818547,91375616.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11154585435194,1789013622341662478,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.689999999999998,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,113443714.0,1789013202.9818547,91396160.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11155160226721,1789013622916454075,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.75,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,122653714.0,1789013202.9818547,91415808.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11155749484965,1789013623505712349,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.79,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,132463714.0,1789013202.9818547,91436736.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11156332609985,1789013624088837590,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.840000000000003,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,142123714.0,1789013202.9818547,91457344.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11156915250517,1789013624671478151,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.9,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,151633714.0,1789013202.9818547,91477632.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11157505416013,1789013625261643417,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.939999999999998,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,161383714.0,1789013202.9818547,91498432.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11158089572379,1789013625845799703,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.99,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,170983714.0,1789013202.9818547,91518912.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11158673770372,1789013626429997676,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,31.05,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,180403714.0,1789013202.9818547,91539008.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11159263899289,1789013627020126703,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,31.11,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,190093714.0,1789013202.9818547,91559680.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11159849253313,1789013627605480767,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,31.16,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,199663714.0,1789013202.9818547,91580096.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11160433767450,1789013628189994794,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,31.21,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,209443714.0,1789013202.9818547,91600960.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11161022975027,1789013628779202331,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,31.259999999999998,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,219163714.0,1789013202.9818547,91621696.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11161607056312,1789013629363283656,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,31.310000000000002,64.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,1.0,1.0,1.0,0.0,228793714.0,1789013202.9818547,91642240.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
